Grupo;C�digo de barras;Art�culo;deposito 1;deposito 2;deposito 3;deposito 4;deposito 5
AMOBLAMIENTO;AMLM-AM-U61-B;BANQUETA TAPIZADA COST BCO  BASE PINTADA NEGRO;;;1;;
AMOBLAMIENTO;AMLM-MD-B53-B;BANQUETA LAQUEADA BASE PINTADA AS/RS BLANCA;;;2;;
AMOBLAMIENTO;AMLM-VT J02 A;R- SILLA 4 PATAS DE MADERA TOR TAPIZ SHOT NICKEL;;;6;;
ANAFES ORMAY;ORANAFE-065120;ANAFE VITROCERAMICO VITRO COOK 4;;;;1;
ANAFES ORMAY;ORANAFE-INDUCC-I2;ANAFE INDUCCION SMART COOK I2;;1;;;
ANAFES ORMAY;ORANAFE-INDUCC-I4;ANAFE INDUCCION SMART COOK I4;;;;2;
ANAFES ORMAY;ORANAFE-TECNO-IX;ANAFE TECNO IX - A. INOX;;1;;2;
CAMPANAS FRANKE;CF-TURBOTRO-3716;PURIF TURBOTRONIC 60 CM 1 MOT DESLIZ - BLANCO;1;;1;;
CAMPANAS TST;CTC-300-75;CAMP COLHUE 75 CM;;;;1;
CAMPANAS TST;CTE-740;FILTRO CARBON ACTIVADO (CONJUNTO CARTUCHOS);1;;;;1
CAMPANAS TST;CTESP-280-60;CAMP ESPEJO NEGRO-60-3V-CR-CM;1;;;;
CAMPANAS TST;CTIKUBA-245-90;CAMP KUBA ISLA-90-3V-A-CM (90X50);;;1;1;
CAMPANAS TST;CTLACAR-260-75;CAMP LACAR CRISTAL CURVO -75-3V-CR-CM;1;;;;
CAMPANAS TST;CTLACAR-260-90;CAMP LACAR CRISTAL CURVO-90-3V-CR-CM;;;;1;
FUENTE ZXT;ZXT-500-80PLUS-BR;ZXT 500W CERT 80PLUS BRONCE;;;1;;1;
CAMPANAS TST;CTLANIN-330-75;CAMP LANIN 3V-A-CM 75 CM;2;;;;
CAMPANAS TST;CTLANIN-330-90;CAMP LANIN 3V-A-CM 90 CM;;;1;;
CAMPANAS TST;CTNIH-210-60;CAMP NIHUIL-60-3V-A-CM (60X52);;1;1;;
CAMPANAS TST;CTNIH-210-90;CAMP NIHUIL-90-3V-A-CM (90X52);;2;;;
CAMPANAS TST;CTP-200-90;PURIFICADOR EXTENSIBLE 3 V - 90 CM;;;;1;
C�DIGOS ERROR;ERROR 01;ART�CULO NO IDENTIFICADO EN BASE DE DATOS;6;;1;;
FIXSYSTEM;SMASF;ANGULOS FIXSYSTEM;84;;1;;
FIXSYSTEM;SMF35 SIN/REG-DERECHA;M�NSULA FIXSYSTEM 35  CM SIN REGULACION-DERECHA;16;;1;;
FIXSYSTEM;SMF35 SIN/REG-IZQ;M�NSULA FIXSYSTEM 35  CM SIN REGULACION-IZQUIERDA;18;;1;;
FIXSYSTEM;SMFS35 CON/REG-DERECHA;M�NSULA FIXSYSTEM 35  CM CON REGULACI�N-DERECHA;10;;1;;
FIXSYSTEM;SMFS35 CON/REG-IZQ;M�NSULA FIXSYSTEM 35  CM CON REGULACI�N-IZQUIERDA;10;;;;
FIXSYSTEM;SMFS45 CON/REG-DERECHA;M�NSULA FIXSYSTEM 45 CM CON REGULACION-DERECHA;25;;;;
FIXSYSTEM;SMFS45 CON/REG-IZQ;M�NSULA FIXSYSTEM 45 CM CON REGULACION-IZQUIERDA;26;;;;
FIXSYSTEM;SMFS45 SIN/REG-DERECHA;M�NSULA FIXSYSTEM 45 CM SIN REGULACION-DERECHA;2;;1;;
FIXSYSTEM;SMFS45 SIN/REG-IZQ;M�NSULA FIXSYSTEM 45 CM SIN REGULACION-IZQUIERDA;10;;1;;
FIXSYSTEM;SMGFS-120;GUIAS FIXSYSTEM  DE 120 CM;8;;;;1
FIXSYSTEM;SMGFS-60;GUIAS FIXSYSTEM DE 60 CM;18;;1;;
FIXSYSTEM;SMGFS-90;GUIAS FIXSYSTEM  DE 90 CM;10;;;;
GRIFERIAS VARIAS;GFV-0181/M4-CR;GRIFERIA FV MONOCOMANDO LAVATORIO CROMO C/DESAGUE - 0181/M4;4;;;;
GRIFERIAS VARIAS;GFV-RADAL-207/C7-CR;GRIFERIA FV LAVATORIO RADAL CROMO C/DESAGUE - 207/C7;2;;;;
GRIFERIAS VARIAS;GHDB-BID-BARC;MONOCOMANDO BIDET BARCELONA 82578.49A;1;;1;;
GRIFERIAS VARIAS;GHDB-BID-LISB;MONOCOMANDO BIDET LISBOA 82378-16A;;;1;;
GRIFERIAS VARIAS;GHDB-CAS-CUAD-A;GRIF HD BA�O CASCADA CUAD ALTO - 8671A-29A;1;;1;1;
GRIFERIAS VARIAS;GHDB-CAS-CUAD-B;GRIF HD BA�O CASCADA CUAD BAJO - 86701-29A;4;;1;1;
GRIFERIAS VARIAS;GHDB-CAS-RED-B;GRIF HD BA�O CASCADA RED BAJO - 81519-29A;2;;1;1;
